Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,1.710938,1.722656,1.708984,1.71875,0.384644,832000
1970-01-05,1.71875,1.730469,1.708984,1.726563,0.386393,518400
1970-01-06,1.722656,1.722656,1.707031,1.71875,0.384644,480000
1970-01-07,1.722656,1.75,1.722656,1.746094,0.390764,710400
1970-01-08,1.746094,1.773438,1.742188,1.765625,0.395135,531200
1970-01-09,1.765625,1.765625,1.753906,1.761719,0.394261,262400
1970-01-12,1.761719,1.761719,1.75,1.75,0.391638,371200
1970-01-13,1.75,1.753906,1.742188,1.742188,0.38989,409600
1970-01-14,1.75,1.792969,1.75,1.75,0.391638,595200
1970-01-15,1.75,1.757813,1.746094,1.75,0.391638,390400
1970-01-16,1.761719,1.796875,1.761719,1.769531,0.396009,409600
1970-01-19,1.765625,1.765625,1.75,1.753906,0.394778,512000
1970-01-20,1.757813,1.767578,1.757813,1.759766,0.396097,268800
1970-01-21,1.759766,1.773438,1.75,1.771484,0.398735,678400
1970-01-22,1.771484,1.816406,1.751953,1.8125,0.407967,902400
1970-01-23,1.804688,1.804688,1.757813,1.757813,0.395657,2892800
1970-01-26,1.757813,1.761719,1.734375,1.734375,0.390382,531200
1970-01-27,1.738281,1.75,1.738281,1.738281,0.391261,147200
1970-01-28,1.738281,1.748047,1.726563,1.726563,0.388624,825600
1970-01-29,1.726563,1.726563,1.714844,1.722656,0.387744,416000
1970-01-30,1.728516,1.748047,1.728516,1.734375,0.390382,435200
1970-02-02,1.734375,1.738281,1.71875,1.71875,0.386865,2451200
1970-02-03,1.722656,1.763672,1.722656,1.75,0.393899,1235200
1970-02-04,1.75,1.765625,1.75,1.753906,0.394778,384000
1970-02-05,1.753906,1.763672,1.746094,1.757813,0.395657,454400
1970-02-06,1.757813,1.789063,1.753906,1.78125,0.400933,531200
1970-02-09,1.78125,1.804688,1.771484,1.796875,0.40445,640000
1970-02-10,1.796875,1.796875,1.789063,1.792969,0.403571,288000
1970-02-11,1.792969,1.796875,1.78125,1.796875,0.40445,659200
1970-02-12,1.800781,1.816406,1.800781,1.8125,0.407967,793600
1970-02-13,1.808594,1.808594,1.78125,1.789063,0.402692,1548800
1970-02-16,1.789063,1.824219,1.789063,1.791016,0.403131,435200
1970-02-17,1.789063,1.789063,1.710938,1.726563,0.388624,1542400
1970-02-18,1.724609,1.724609,1.681641,1.6875,0.379831,1299200
1970-02-19,1.6875,1.695313,1.671875,1.695313,0.38159,2060800
1970-02-20,1.695313,1.705078,1.691406,1.691406,0.380711,844800
1970-02-24,1.691406,1.699219,1.679688,1.699219,0.382469,985600
1970-02-25,1.699219,1.707031,1.675781,1.6875,0.379831,2892800
1970-02-26,1.65625,1.65625,1.648438,1.650391,0.371478,1747200
1970-02-27,1.65625,1.71875,1.65625,1.707031,0.384227,1171200
1970-03-02,1.707031,1.738281,1.707031,1.714844,0.385986,1542400
1970-03-03,1.714844,1.726563,1.703125,1.726563,0.388624,876800
1970-03-04,1.726563,1.732422,1.71875,1.722656,0.387744,1075200
1970-03-05,1.722656,1.726563,1.710938,1.710938,0.385107,1523200
1970-03-06,1.703125,1.703125,1.6875,1.703125,0.383348,384000
1970-03-09,1.703125,1.712891,1.703125,1.705078,0.383788,275200
1970-03-10,1.705078,1.716797,1.705078,1.716797,0.386425,428800
1970-03-11,1.716797,1.71875,1.712891,1.716797,0.386425,806400
1970-03-12,1.716797,1.71875,1.714844,1.71875,0.386865,1011200
1970-03-13,1.71875,1.726563,1.703125,1.703125,0.383348,1644800
1970-03-16,1.699219,1.699219,1.648438,1.65625,0.372797,2316800
1970-03-17,1.65625,1.683594,1.652344,1.658203,0.373237,1139200
1970-03-18,1.664063,1.691406,1.664063,1.679688,0.378073,518400
1970-03-19,1.679688,1.691406,1.65625,1.660156,0.373676,262400
1970-03-20,1.660156,1.679688,1.658203,1.679688,0.378073,339200
1970-03-23,1.675781,1.675781,1.660156,1.660156,0.373676,192000
1970-03-24,1.666016,1.675781,1.666016,1.675781,0.377193,198400
1970-03-25,1.675781,1.761719,1.675781,1.703125,0.383348,1760000
1970-03-26,1.703125,1.714844,1.695313,1.703125,0.383348,422400
1970-03-30,1.6875,1.6875,1.660156,1.683594,0.378952,531200
1970-03-31,1.683594,1.703125,1.681641,1.703125,0.383348,243200
1970-04-01,1.71875,1.734375,1.71875,1.726563,0.388624,806400
1970-04-02,1.726563,1.730469,1.71875,1.71875,0.386865,467200
1970-04-03,1.71875,1.724609,1.71875,1.71875,0.386865,166400
1970-04-06,1.71875,1.734375,1.710938,1.712891,0.385547,256000
1970-04-07,1.712891,1.722656,1.710938,1.716797,0.386425,627200
1970-04-08,1.714844,1.714844,1.707031,1.708984,0.384667,102400
1970-04-09,1.708984,1.714844,1.699219,1.703125,0.383348,371200
1970-04-10,1.703125,1.703125,1.691406,1.691406,0.380711,307200
1970-04-13,1.691406,1.691406,1.671875,1.671875,0.376314,467200
1970-04-14,1.671875,1.673828,1.644531,1.671875,0.376314,537600
1970-04-15,1.671875,1.679688,1.648438,1.660156,0.373676,793600
1970-04-16,1.65625,1.65625,1.634766,1.634766,0.367961,544000
1970-04-17,1.634766,1.675781,1.626953,1.675781,0.377193,620800
1970-04-20,1.675781,1.6875,1.664063,1.664063,0.377016,339200
1970-04-21,1.664063,1.669922,1.642578,1.642578,0.372149,390400
1970-04-22,1.642578,1.648438,1.625,1.625,0.368166,697600
1970-04-23,1.613281,1.613281,1.587891,1.59375,0.361086,435200
1970-04-24,1.59375,1.609375,1.59375,1.601563,0.362856,262400
1970-04-27,1.601563,1.609375,1.527344,1.554688,0.352236,1542400
1970-04-28,1.554688,1.585938,1.548828,1.564453,0.354448,652800
1970-04-29,1.564453,1.585938,1.5625,1.578125,0.357546,627200
1970-04-30,1.578125,1.585938,1.546875,1.556641,0.352679,268800
1970-05-01,1.556641,1.570313,1.539063,1.539063,0.348696,390400
1970-05-04,1.53125,1.53125,1.5,1.5,0.339846,1241600
1970-05-05,1.484375,1.484375,1.445313,1.46875,0.332766,870400
1970-05-06,1.46875,1.515625,1.46875,1.476563,0.334536,1472000
1970-05-07,1.482422,1.519531,1.482422,1.519531,0.344271,716800
1970-05-08,1.515625,1.515625,1.488281,1.488281,0.337191,492800
1970-05-11,1.488281,1.488281,1.472656,1.472656,0.333651,224000
1970-05-12,1.460938,1.460938,1.445313,1.451172,0.328783,512000
1970-05-13,1.441406,1.441406,1.423828,1.441406,0.326571,838400
1970-05-14,1.439453,1.439453,1.431641,1.4375,0.325686,448000
1970-05-15,1.445313,1.505859,1.445313,1.505859,0.341173,646400
1970-05-18,1.505859,1.515625,1.494141,1.503906,0.340731,556800
1970-05-19,1.5,1.5,1.4375,1.445313,0.327456,691200
1970-05-20,1.4375,1.4375,1.40625,1.40625,0.318605,966400
1970-05-21,1.40625,1.40625,1.375,1.386719,0.31418,611200
1970-05-22,1.375,1.375,1.339844,1.34375,0.304445,518400
1970-05-25,1.332031,1.332031,1.296875,1.296875,0.293825,467200
1970-05-26,1.289063,1.289063,1.253906,1.257813,0.284975,662400
1970-05-27,1.273438,1.398438,1.273438,1.382813,0.313296,508800
1970-05-28,1.410156,1.5,1.410156,1.460938,0.330996,566400
1970-05-29,1.460938,1.554688,1.40625,1.53125,0.346926,275200
1970-06-01,1.53125,1.5625,1.515625,1.523438,0.345156,489600
1970-06-02,1.523438,1.5625,1.484375,1.507813,0.341616,377600
